Day,Time,Course,Group_ID,Group,Room,StartSlot,Duration
Monday,12:00 - 13:00,PHM11501,btech_1_a,a,SEW7,4,1
Monday,11:00 - 12:00,PHM11501,btech_1_a,a,CSNB2,3,1
Friday,14:00 - 15:00,PHM11501,btech_1_a,a,SEW7,6,1
Friday,11:00 - 13:00,PHM11501 (A1),btech_1_a,a,physics lab,3,2
Wednesday,11:00 - 13:00,PHM11501 (A2),btech_1_a,a,physics lab,3,2
Tuesday,11:00 - 13:00,PHM11501 (A3),btech_1_a,a,physics lab,3,2
Tuesday,16:00 - 17:00,MAN11101,btech_1_a,a,GS7,8,1
Monday,09:00 - 10:00,MAN11101,btech_1_a,a,CSNB2,1,1
Wednesday,17:00 - 18:00,MAN11101,btech_1_a,a,SEW7,9,1
Wednesday,09:00 - 10:00,MAN11101,btech_1_a,a,FE16,1,1
Saturday,14:00 - 15:00,CSN11601,btech_1_a,a,SEW1,6,1
Tuesday,17:00 - 18:00,CSN11601,btech_1_a,a,SEW7,9,1
Saturday,11:00 - 13:00,CSN11601 (A1),btech_1_a,a,CCSF,3,2
Thursday,14:00 - 16:00,CSN11601 (A2),btech_1_a,a,CCSF,6,2
Thursday,16:00 - 18:00,CSN11601 (A3),btech_1_a,a,CCSF,8,2
Monday,08:00 - 09:00,CSN11101,btech_1_a,a,CSNB1,0,1
Saturday,09:00 - 10:00,CSN11101,btech_1_a,a,GS7,1,1
Tuesday,08:00 - 09:00,CSN11101,btech_1_a,a,SEW8,0,1
Thursday,14:00 - 16:00,CSN11101 (A1),btech_1_a,a,CSED - L1,6,2
Friday,08:00 - 10:00,CSN11101 (A2),btech_1_a,a,CSED - L1,0,2
Friday,11:00 - 13:00,CSN11101 (A3),btech_1_a,a,CSED - L1,3,2
Friday,17:00 - 18:00,CSN11102,btech_1_a,a,FEW15,9,1
Monday,16:00 - 17:00,CSN11102,btech_1_a,a,NLH1,8,1
Tuesday,10:00 - 11:00,CSN11102,btech_1_a,a,GS4,2,1
Thursday,08:00 - 09:00,CSN11103,btech_1_a,a,GS6,0,1
Wednesday,15:00 - 16:00,CSN11103,btech_1_a,a,FC5,7,1
Tuesday,16:00 - 17:00,PHM11501,btech_1_b,b,FN3,8,1
Wednesday,10:00 - 11:00,PHM11501,btech_1_b,b,NLH1,2,1
Wednesday,08:00 - 09:00,PHM11501,btech_1_b,b,GS3,0,1
Thursday,08:00 - 10:00,PHM11501 (B1),btech_1_b,b,physics lab,0,2
Thursday,10:00 - 12:00,PHM11501 (B2),btech_1_b,b,physics lab,2,2
Thursday,16:00 - 18:00,PHM11501 (B3),btech_1_b,b,physics lab,8,2
Monday,11:00 - 12:00,MAN11101,btech_1_b,b,FN3,3,1
Wednesday,12:00 - 13:00,MAN11101,btech_1_b,b,GS6,4,1
Wednesday,14:00 - 15:00,MAN11101,btech_1_b,b,FC5,6,1
Monday,14:00 - 15:00,MAN11101,btech_1_b,b,CSNB1,6,1
Tuesday,17:00 - 18:00,CSN11601,btech_1_b,b,FN4,9,1
Friday,12:00 - 13:00,CSN11601,btech_1_b,b,CSNB2,4,1
Thursday,11:00 - 13:00,CSN11601 (B1),btech_1_b,b,CCSF,3,2
Saturday,16:00 - 18:00,CSN11601 (B2),btech_1_b,b,CCSF,8,2
Tuesday,08:00 - 10:00,CSN11601 (B3),btech_1_b,b,CCSF,0,2
Friday,16:00 - 17:00,CSN11101,btech_1_b,b,FC5,8,1
Tuesday,15:00 - 16:00,CSN11101,btech_1_b,b,CSNB1,7,1
Monday,10:00 - 11:00,CSN11101,btech_1_b,b,SMS3,2,1
Saturday,15:00 - 17:00,CSN11101 (B1),btech_1_b,b,CSED - L1,7,2
Saturday,10:00 - 12:00,CSN11101 (B2),btech_1_b,b,CSED - L1,2,2
