course_code,name,department,semester,group,no_of_hours,is_there_a_practical,degree,practical_room
PHM11501,Physics,physics,1,A,3,Yes,BTech,physics lab
MAN11101,MATHS,maths,1,A,4,No,BTech,
CSN11601,Introduction to Artificial Intelligence & Machine ,CSED,1,A,2,Yes,BTech,CCSF
CSN11101,Computer Programming ,CSED,1,A,3,Yes,BTech,CSED - L2
CSN11102,Introduction  to Computer Organization ,CSED,1,A,3,No,BTech,
CSN11103,Discrete Mathematics ,CSED,1,A,2,No,BTech,
PHM11501,Physics,physics,1,B,3,Yes,BTech,physics lab
MAN11101,MATHS,maths,1,B,4,No,BTech,
CSN11601,Introduction to Artificial Intelligence & Machine ,CSED,1,B,2,Yes,BTech,CCSF
CSN11101,Computer Programming ,CSED,1,B,3,Yes,BTech,CSED - L2
CSN11102,Introduction  to Computer Organization ,CSED,1,B,3,No,BTech,
CSN11103,Discrete Mathematics ,CSED,1,B,2,No,BTech,
PHM11501,Physics,physics,1,C,3,Yes,BTech,physics lab
MAN11101,MATHS,maths,1,C,4,No,BTech,
CSN11601,Introduction to Artificial Intelligence & Machine ,CSED,1,C,2,Yes,BTech,CCSF
CSN11101,Computer Programming ,CSED,1,C,3,Yes,BTech,CSED - L2
CSN11102,Introduction  to Computer Organization ,CSED,1,C,3,No,BTech,
CSN11103,Discrete Mathematics ,CSED,1,C,2,No,BTech,
PHM11501,Physics,physics,1,D,3,Yes,BTech,physics lab
MAN11101,MATHS,maths,1,D,4,No,BTech,
CSN11601,Introduction to Artificial Intelligence & Machine ,CSED,1,D,2,Yes,BTech,CCSF
CSN11101,Computer Programming ,CSED,1,D,3,Yes,BTech,CSED - L2
CSN11102,Introduction  to Computer Organization ,CSED,1,D,3,No,BTech,
CSN11103,Discrete Mathematics ,CSED,1,D,2,No,BTech,
PHM11501,Physics,physics,1,E,3,Yes,BTech,physics lab
MAN11101,MATHS,maths,1,E,4,No,BTech,
CSN11601,Introduction to Artificial Intelligence & Machine ,CSED,1,E,2,Yes,BTech,CCTF
ECN11102,Digital Electronics,ECE,1,E,2,Yes,BTech,ECE1
ECN11101,Basic Electronics,ECE,1,E,2,Yes,BTech,ECE2
ECN11103,Electronics Workshop and Manufacturing Process ,ECE,1,E,1,Yes,BTech,ECE3
PHM11501,Physics,physics,1,F,3,Yes,BTech,physics lab
MAN11101,MATHS,maths,1,F,4,No,BTech,
CSN11601,Introduction to Artificial Intelligence & Machine ,CSED,1,F,2,Yes,BTech,CCTF
ECN11102,Digital Electronics,ECE,1,F,2,Yes,BTech,ECE1
ECN11101,Basic Electronics,ECE,1,F,2,Yes,BTech,ECE2
ECN11103,Electronics Workshop and Manufacturing Process ,ECE,1,F,1,Yes,BTech,ECE3
CYN11502,Chemistry ,chemistry,1,G,3,Yes,BTech,chemistry lab
MAN11101,Mathematics1   ,maths,1,G,4,No,BTech,
HSN11600,Professional Communication,humanities,1,G,2,Yes,BTech,comm lab
MEN11101,Engineering Thermodynamics,mechanical,1,G,3,No,BTech,
AMN11101,Materials Science and  Engineering,applied mechanics,1,G,3,No,BTech,
MEN11602,Workshop and Manufacturing Process ,mechanical,1,G,1,Yes,BTech,mechanical workshop
CYN11502,Chemistry ,chemistry,1,H,3,Yes,BTech,chemistry lab
MAN11101,Mathematics1   ,maths,1,H,4,No,BTech,
HSN11600,Professional Communication,humanities,1,H,2,Yes,BTech,comm lab
MEN11101,Engineering Thermodynamics,mechanical,1,H,3,No,BTech,
AMN11101,Materials Science and  Engineering,applied mechanics,1,H,3,No,BTech,
MEN11602,Workshop and Manufacturing Process ,mechanical,1,H,1,Yes,BTech,mechanical workshop
CYN11504,Chemistry 4,chemistry,1,I,3,Yes,BTech,chemistry lab
MAN11101,Mathematics1   ,maths,1,I,4,No,BTech,
HSN11600,Professional Communication,humanities,1,I,2,Yes,BTech,comm lab
CEN11101,Building Engineering ,civil,1,I,2,Yes,BTech,survey lab
CEN11102,Plumbing and Sanitation System ,civil,1,I,2,Yes,BTech,pss lab
EG3D,Engineering Graphics and 3D  Modeling  ,civil,1,I,1,Yes,BTech,EG3D
CYN11504,Chemistry 4,chemistry,1,J,3,Yes,BTech,chemistry lab
MAN11101,Mathematics1   ,maths,1,J,4,No,BTech,
